VendorNumber,VendorName,Brand,PurchasePrice,Actual_sellingPrice,Volume,Description,total_purchase_quantity,total_purchases_amount_in_dollars,TOTAL_SALES_QUANTITY,TOTAL_SALES_PRICE,TOTAL_SALES_DOLLARS,TOTALSALES_EXCISE_TAX,freight_Cost,GrossProfit,Stockturnover,ProfitMargin,SalesToPurchaseRatio,Unitprice,Ordersize,Unsold_inventory_value
7245,PROXIMO SPIRITS INC.,3065,0.71,0.99,50.0,Three Olives Grape Vodka,1,0.71,86,33.66,85.14,4.46,38994.78,84.43,86.0,99.16607939863754,119.91549295774648,0.71,Small,-60.349999999999994
3960,DIAGEO NORTH AMERICA INC,6127,1.47,1.99,200.0,The Club Strawbry Margarita,1,1.47,72,77.61,143.28,15.12,257032.07,141.81,72.0,98.97403685092128,97.46938775510205,1.47,Small,-104.37
3924,HEAVEN HILL DISTILLERIES,9123,0.74,0.99,50.0,Deep Eddy Vodka,2,1.48,2,0.99,1.98,0.1,14069.87,0.5,1.0,25.252525252525253,1.337837837837838,0.74,Small,0.0
8004,SAZERAC CO INC,5683,0.39,0.49,50.0,Dr McGillicuddy's Apple Pie,6,2.34,134,1.47,65.66,7.04,50293.62,63.31999999999999,22.333333333333332,96.43618641486444,28.05982905982906,0.38999999999999996,Small,-49.92
9815,WINE GROUP INC,8527,1.32,4.99,750.0,Concannon Glen Ellen Wh Zin,2,2.64,5,10.96,15.950000000000001,0.55,27100.41,13.31,2.5,83.44827586206897,6.041666666666667,1.32,Small,-3.96
3960,DIAGEO NORTH AMERICA INC,2626,1.42,1.99,50.0,Crown Royal Apple,2,2.84,14,5.97,27.86,0.73,257032.07,25.02,7.0,89.80617372577171,9.809859154929578,1.42,Small,-17.04
3960,DIAGEO NORTH AMERICA INC,8729,0.74,0.99,50.0,Smirnoff Light Strawberry,4,2.96,6,2.9699999999999998,5.9399999999999995,0.31,257032.07,2.9799999999999995,1.5,50.16835016835016,2.0067567567567566,0.74,Small,-1.48
90024,VINILANDIA USA,46135,3.28,10.99,750.0,Aresti Pnt Nr Curico Vly,1,3.28,19,59.88,94.81,2.12,2802.64,91.53,19.0,96.54044931969202,28.90548780487805,3.28,Small,-59.04
6785,PALM BAY INTERNATIONAL INC,22161,3.35,4.99,750.0,Santa Rita Organic Svgn Bl,1,3.35,1,9.99,9.99,0.11,13605.41,6.640000000000001,1.0,66.46646646646647,2.982089552238806,3.35,Small,0.0
4425,MARTIGNETTI COMPANIES,27934,3.37,4.99,750.0,Terruzzi & Puthod Vernaccia,1,3.37,1,4.99,4.99,0.11,144929.24,1.62,1.0,32.46492985971944,1.4807121661721068,3.37,Small,0.0
